id,servicesOrderId,arrivalDate,dischargeWaitingMin,gensetOffMoment,arrivalTemp1,arrivalTemp2,arrivalTemp3,afterVc1Temp,afterVc2Temp,afterVc3Temp,specificComments,vcCycles,vcDurationMin,createdAt,createdById,updatedAt,updatedById,deletedAt,deletedById
a766ba64-cd6f-4940-9fef-745a788654ef,1fce2b11-26e2-4898-88e0-ac8b283d5036,,,,,,,,,,,,,1689247686704,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1689247686704,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,
fac85e6a-fa81-4fb6-9225-ec541dafcad9,5daa9435-5bdf-4f34-9018-50eb9d66fae7,,,,,,,,,,,,,1690273892934,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1690273892934,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,
65e3c964-1dc0-410b-bfe2-4c94a3a615a0,6eaf5917-ac07-47f2-ba7d-8bb7d14b12b5,,,,,,,,,,,,,1692188459673,563748b6-6df2-4990-aa54-d574de5546a2,1692188459673,563748b6-6df2-4990-aa54-d574de5546a2,,
5412b4a9-f48b-4932-9460-8b1a116659a5,004f1993-badc-4700-80cb-93534b99fca2,1698114451000,25,At arrival,5.80,5.00,5.10,2.2,2.0,1.9,,2,100,1698407309149,0fbacf80-7675-4545-a351-293a71a1e858,1698407474097,0fbacf80-7675-4545-a351-293a71a1e858,,
d3241bfb-2079-4388-84af-fd35fdcd6fb5,a655bf28-14dc-4906-94e5-6b775d10703c,1696278223000,15,At arrival,4.00,4.70,5.10,1.7,1.5,1.9,"Good  Packing. 
Good loading  temperatures. ",2,160,1696402689778,0fbacf80-7675-4545-a351-293a71a1e858,1696409156290,0fbacf80-7675-4545-a351-293a71a1e858,,
f131f2ca-9ee2-4b61-b7c6-7b7eb27c7548,5808911a-7994-4025-957f-8bc6492f7cac,1696907137000,9,At arrival,5.20,5.70,6.20,1.4,1.8,2.1,Test 4,2,160,1697002653323,0fbacf80-7675-4545-a351-293a71a1e858,1697041098413,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,
902e863b-dd0a-4329-9449-4b1c474a3d29,a718911c-34fa-4ea5-adb1-d74080db3a4c,,,,,,,,,,,,,1696512937019,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1696512937019,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,
5248dbd0-0922-4937-b8a9-aeb7d4ac463c,81de3531-f447-4d22-ac80-7c5ccf6f9b6e,1693484821000,20,Before discharge,1.00,2.00,3.00,,,,,3,20,1693830419739,563748b6-6df2-4990-aa54-d574de5546a2,1693832570070,563748b6-6df2-4990-aa54-d574de5546a2,,
89a2294a-a5fc-4f33-bea3-4cb6b50eb550,91515cd8-33ca-4ff6-bced-d7d745c85999,,,,,,,,,,,,,1694765006472,a0463e4c-2adb-4488-aac3-66bcf22ff32d,1694765006472,a0463e4c-2adb-4488-aac3-66bcf22ff32d,,
5354352c-0302-42d0-98ec-56b9fbf93c57,d2440057-29ad-4a86-a7ef-e254a4825740,,,,,,,,,,,,,1698992801792,0fbacf80-7675-4545-a351-293a71a1e858,1698992801792,0fbacf80-7675-4545-a351-293a71a1e858,,
